name,date,year,month,doy,LAI,FAPAR,LST
ABERPORTH_UK,2003-11-17,2003,11,320,2.65185726549268,0.7096329551518527,10.232260650481011
ABERPORTH_UK,2003-11-25,2003,11,328,2.708036936497995,0.7007835085032833,6.755583907114917
ABERPORTH_UK,2003-12-03,2003,12,336,3.871253619987239,0.8017837333726012,6.509808917197477
ABERPORTH_UK,2003-12-11,2003,12,344,0.880255170285009,0.3540559728367116,6.322148507541424
ABERPORTH_UK,2003-12-19,2003,12,352,,,
ABERPORTH_UK,2003-12-27,2003,12,360,2.011000225106926,0.6230664565668693,4.015564259847785
ABERPORTH_UK,2004-01-01,2004,1,0,2.021106366269082,0.6265073872281945,4.015564259847785
ABERPORTH_UK,2004-01-09,2004,1,8,1.8823095317682759,0.575344424159831,4.656818181818208
ABERPORTH_UK,2004-01-17,2004,1,16,1.9431631945336376,0.5969657581751395,5.314895745450191
ABERPORTH_UK,2004-01-25,2004,1,24,2.0731132530120475,0.6199272289156627,3.964694148936201
ABERPORTH_UK,2004-02-02,2004,2,32,0.9813783395048497,0.5215108486091135,3.0400648999459454
ABERPORTH_UK,2004-02-10,2004,2,40,1.031263902260881,0.5398207230835629,7.647479358912121
ABERPORTH_UK,2004-02-18,2004,2,48,1.660162621184055,0.7146402367148594,5.799184114548181
ABERPORTH_UK,2004-02-26,2004,2,56,1.5340639511103624,0.6895657195101411,5.428888288531707
ABERPORTH_UK,2004-03-05,2004,3,64,1.3651583925473514,0.6539240476247056,5.249640880248446
ABERPORTH_UK,2004-03-13,2004,3,72,0.5329186927513287,0.3495487956575822,
ABERPORTH_UK,2004-03-21,2004,3,80,1.7917943075542162,0.6320792193879025,8.370000000000005
ABERPORTH_UK,2004-03-29,2004,3,88,1.5322945901480687,0.5677686376979905,12.426929975853778
ABERPORTH_UK,2004-04-06,2004,4,96,0.680318519315614,0.3373765199612613,12.818199697428176
ABERPORTH_UK,2004-04-14,2004,4,104,1.4490576585210027,0.571054144705319,10.897198275862115
ABERPORTH_UK,2004-04-22,2004,4,112,1.8834585270855682,0.6484285203290804,15.897041123370137
ABERPORTH_UK,2004-04-30,2004,4,120,1.5675518245674147,0.5630824053452119,17.413333333333355
ABERPORTH_UK,2004-05-08,2004,5,128,1.4356912089780651,0.5060295868049652,18.886914109136917
ABERPORTH_UK,2004-05-16,2004,5,136,2.3652760184693338,0.6800792710333835,19.645535593678268
ABERPORTH_UK,2004-05-24,2004,5,144,1.7794337081923042,0.5706838446700877,20.532472646224516
ABERPORTH_UK,2004-06-01,2004,6,152,0.9,0.364,21.509959236915066
ABERPORTH_UK,2004-06-09,2004,6,160,2.431680258614356,0.6827881860260085,21.041426319936974
ABERPORTH_UK,2004-06-17,2004,6,168,2.4551461583515235,0.6926042276769075,20.491545994866975
ABERPORTH_UK,2004-06-25,2004,6,176,2.1663543280311335,0.6492458533267842,20.09369385884514
ABERPORTH_UK,2004-07-03,2004,7,184,2.0405153081123233,0.6532766185647425,19.167791978246125
ABERPORTH_UK,2004-07-11,2004,7,192,1.406329145049054,0.5074786692566822,17.34725521669345
ABERPORTH_UK,2004-07-19,2004,7,200,1.8637880496054111,0.6219722982766948,22.31517800493482
ABERPORTH_UK,2004-07-27,2004,7,208,1.9412652391929464,0.6132436607333827,23.797475347831995
ABERPORTH_UK,2004-08-04,2004,8,216,1.4095567643257212,0.5693052563550195,25.857128024918165
ABERPORTH_UK,2004-08-12,2004,8,224,1.2411403464975783,0.5279135253881873,23.85762177650433
ABERPORTH_UK,2004-08-20,2004,8,232,0.9008276301130027,0.43332245742479714,18.590000000000032
ABERPORTH_UK,2004-08-28,2004,8,240,1.999012966905361,0.6763386233146248,18.951469072164986
ABERPORTH_UK,2004-09-05,2004,9,248,2.8635513696267156,0.7886876423100807,22.388380386329896
ABERPORTH_UK,2004-09-13,2004,9,256,2.151911175828176,0.6910543733659861,20.755064838578978
ABERPORTH_UK,2004-09-21,2004,9,264,0.6063848655039905,0.40667454921667157,14.728753156565688
ABERPORTH_UK,2004-09-29,2004,9,272,1.4228103804187544,0.5933157623120023,
