name,date,year,month,doy,NDVI,EVI,VCI
KIMBERLEY_SF,2000-02-18,2000,2,48,0.3596065413001718,0.20381361844100707,54.941443431661035
KIMBERLEY_SF,2000-03-05,2000,3,64,0.33187787382468903,0.1818669851380043,47.621090803071624
KIMBERLEY_SF,2000-03-21,2000,3,80,0.4192533768071985,0.2360604590031341,70.49107332628202
KIMBERLEY_SF,2000-04-06,2000,4,96,0.37681141441714694,0.19553150844201814,59.364304650048275
KIMBERLEY_SF,2000-04-22,2000,4,112,0.38960747649378236,0.1938176979071884,62.670878199854855
KIMBERLEY_SF,2000-05-08,2000,5,128,0.3042325497927408,0.1503953038115459,40.54673748882173
KIMBERLEY_SF,2000-05-24,2000,5,144,0.2719908603781216,0.1359927610959458,32.09216347436446
KIMBERLEY_SF,2000-06-09,2000,6,160,0.2397317055909413,0.12570950358912147,23.57042186946657
KIMBERLEY_SF,2000-06-25,2000,6,176,0.22291469517743406,0.1145115660701648,19.21662886136199
KIMBERLEY_SF,2000-07-11,2000,7,192,0.22305664240218395,0.11122265190577299,19.13142617703888
KIMBERLEY_SF,2000-07-27,2000,7,208,0.19329055707208576,0.1030951622687292,11.334832341803226
KIMBERLEY_SF,2000-08-12,2000,8,224,0.19733163987463356,0.10379859973713478,12.41932635992018
KIMBERLEY_SF,2000-08-28,2000,8,240,0.19353698311596398,0.1074843544636538,11.530261520442366
KIMBERLEY_SF,2000-09-13,2000,9,256,0.19998586593873227,0.09517750985744619,13.257018886845335
KIMBERLEY_SF,2000-09-29,2000,9,272,0.22602091295116772,0.12709620867455262,20.184431392946525
KIMBERLEY_SF,2000-10-15,2000,10,288,0.2429630775452433,0.1307779092103933,24.537037506122847
KIMBERLEY_SF,2000-10-31,2000,10,304,0.23466928365603357,0.1386100399373136,22.3960600406396
KIMBERLEY_SF,2000-11-16,2000,11,320,0.2259432890147112,0.12426630605126136,20.07764947369614
KIMBERLEY_SF,2000-12-02,2000,12,336,0.2809310773899848,0.14510947900859877,34.4502610290531
KIMBERLEY_SF,2000-12-18,2000,12,352,0.28824461305007576,0.15360257460799182,36.244910630339305
KIMBERLEY_SF,2001-01-01,2001,1,0,0.25643833476568423,0.1426110965067489,27.957830062028236
KIMBERLEY_SF,2001-01-17,2001,1,16,0.22996562357818112,0.13094747484960317,20.975678419748874
KIMBERLEY_SF,2001-02-02,2001,2,32,0.2229113840865433,0.1234986502881408,19.137574465460517
KIMBERLEY_SF,2001-02-18,2001,2,48,0.22437652916793047,0.12146429076938638,19.619726946196405
KIMBERLEY_SF,2001-03-06,2001,3,64,0.23484737134768993,0.13259837225760798,22.422522828356183
KIMBERLEY_SF,2001-03-22,2001,3,80,0.29301106561520585,0.14752231321403309,37.61727661423714
KIMBERLEY_SF,2001-04-07,2001,4,96,0.3889984733596201,0.1929695329087049,62.58479365327881
KIMBERLEY_SF,2001-04-23,2001,4,112,0.4040119603680115,0.2105203771105045,66.55002929666581
KIMBERLEY_SF,2001-05-09,2001,5,128,0.3897994439389343,0.1868183854008696,62.814094587575525
KIMBERLEY_SF,2001-05-25,2001,5,144,0.34761942169649185,0.1737711707612982,51.86419526463926
KIMBERLEY_SF,2001-06-10,2001,6,160,0.32429563239308457,0.1575123344454555,45.842958649787114
KIMBERLEY_SF,2001-06-26,2001,6,176,0.2687782175715297,0.129287296532201,31.133704710682274
KIMBERLEY_SF,2001-07-12,2001,7,192,0.2468784854918614,0.1190425639470226,25.29923392402762
KIMBERLEY_SF,2001-07-28,2001,7,208,0.22046999797795988,0.11019937316752602,18.508561337260137
KIMBERLEY_SF,2001-08-13,2001,8,224,0.21582711050449918,0.10859972196946721,17.26757972068716
KIMBERLEY_SF,2001-08-29,2001,8,240,0.21674531392174715,0.10551998786775857,17.592885647833487
KIMBERLEY_SF,2001-09-14,2001,9,256,0.2220170407441109,0.11165944798301491,18.89547380437
KIMBERLEY_SF,2001-09-30,2001,9,272,0.2430827823273683,0.12386048427863713,24.665447891825412
KIMBERLEY_SF,2001-10-16,2001,10,288,0.2727317915276515,0.1393485441310282,32.27696688671421
KIMBERLEY_SF,2001-11-01,2001,11,304,0.2436798493503867,0.13301138466204954,24.81283161389349
KIMBERLEY_SF,2001-11-17,2001,11,320,0.31090712299681517,0.15061390728476826,42.286046759002126
KIMBERLEY_SF,2001-12-03,2001,12,336,0.3247830500758726,0.19983629742033382,45.69226573386992
KIMBERLEY_SF,2001-12-19,2001,12,352,0.319719716742539,0.1750511127971673,44.35886454541871
KIMBERLEY_SF,2002-01-01,2002,1,0,0.36355667559779603,0.20882480157727118,55.47548670540285
KIMBERLEY_SF,2002-01-17,2002,1,16,0.31438233153025646,0.17626418280167835,42.86895457133063
KIMBERLEY_SF,2002-02-02,2002,2,32,0.2847418764533414,0.16410363461732894,35.13026595655938
KIMBERLEY_SF,2002-02-18,2002,2,48,0.34425310888686717,0.1916681882519462,50.82888804997715
KIMBERLEY_SF,2002-03-06,2002,3,64,0.3896205034880195,0.1988811242543727,62.62864705604428
KIMBERLEY_SF,2002-03-22,2002,3,80,0.378767667576585,0.1887234859973714,59.886194740627005
KIMBERLEY_SF,2002-04-07,2002,4,96,0.31215596501870396,0.15586659084015775,42.38790529878196
KIMBERLEY_SF,2002-04-23,2002,4,112,0.28360918511778394,0.14186942169649183,35.09132522943475
KIMBERLEY_SF,2002-05-09,2002,5,128,0.2491270548983924,0.12402246486705086,26.114428879023457
KIMBERLEY_SF,2002-05-25,2002,5,144,0.24861401273885358,0.11369205843696296,25.98969947005602
KIMBERLEY_SF,2002-06-10,2002,6,160,0.23511818825194625,0.10688613385906381,22.456305980356273
KIMBERLEY_SF,2002-06-26,2002,6,176,0.22314792740875547,0.09920047012435551,19.33732075390529
KIMBERLEY_SF,2002-07-12,2002,7,192,0.2165379587503791,0.09884684056212718,17.57797234523144
KIMBERLEY_SF,2002-07-28,2002,7,208,0.1977646800121322,0.09442246486705089,12.597709787993212
KIMBERLEY_SF,2002-08-13,2002,8,224,0.19851568597715108,0.09178116975027807,12.819765395524431
KIMBERLEY_SF,2002-08-29,2002,8,240,0.22635643514305948,0.10390908907087254,20.196466187922848
KIMBERLEY_SF,2002-09-14,2002,9,256,0.24811913355575768,0.12253560812860181,26.08675300461158
KIMBERLEY_SF,2002-09-30,2002,9,272,0.2601595086442221,0.13406286017591754,29.104825174955003
KIMBERLEY_SF,2002-10-16,2002,10,288,0.23444570821959368,0.12424323122030127,22.21234066484001
KIMBERLEY_SF,2002-11-01,2002,11,304,0.22272479146655888,0.12802467013801122,19.180949732362325
KIMBERLEY_SF,2002-11-17,2002,11,320,0.23695079621859363,0.12773939133511963,22.951804027115443
KIMBERLEY_SF,2002-12-03,2002,12,336,0.24837863714487926,0.13800474673946014,25.915788780121815
KIMBERLEY_SF,2002-12-19,2002,12,352,0.2788588113302983,0.1382966616084977,33.739423114507765
KIMBERLEY_SF,2003-01-01,2003,1,0,0.2767409109291275,0.16510173389950467,33.44653131271769
KIMBERLEY_SF,2003-01-17,2003,1,16,0.3100746878317579,0.15773274859713865,41.60223554419252
KIMBERLEY_SF,2003-02-02,2003,2,32,0.31652592761095943,0.18744309978768584,43.61729960034557
